Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload,Share
10152,CenturyLink,"Indianapolis, IN",2020-07-11T09:45:02.378118Z,78.03598524133477,29.784,46834623.64103081,2470707.9348260146,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T10:00:02.310360Z,78.03598524133477,30.035,48761296.080299534,2449329.8702238733,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T10:15:02.470165Z,78.03598524133477,29.914,39598487.137136534,2487575.191907756,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T10:30:02.903844Z,78.03598524133477,30.104,40544933.461319566,2453626.267485619,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T10:45:02.021426Z,78.03598524133477,30.295,44589804.51247358,2447961.4313711803,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T11:00:02.276597Z,78.03598524133477,29.469,54562455.96104798,2455243.0116888015,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T11:15:02.606998Z,78.03598524133477,29.726,63847958.95680627,2469115.7814296666,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T11:30:02.809724Z,78.03598524133477,29.939,76294724.28405994,2462828.0208521755,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T11:45:02.725163Z,78.03598524133477,29.928,82284155.29912046,2462465.868820069,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T12:00:02.686354Z,78.03598524133477,30.887,90298098.84816836,2475952.8750514435,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T12:15:02.915198Z,78.03598524133477,30.084,89747414.69198851,2461261.394130357,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T12:30:02.949963Z,78.03598524133477,30.007,84774225.68284297,2460237.9499704037,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T12:45:03.001054Z,78.03598524133477,29.601,86656433.07351886,2461899.480872048,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T13:00:02.916373Z,78.03598524133477,29.801,81205981.19811775,2470732.164155898,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T13:15:02.870728Z,78.03598524133477,30.062,89899204.27280328,2470947.5444171303,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T13:30:02.835572Z,78.03598524133477,30.823,88208372.80667146,2468475.463789904,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T13:45:02.832441Z,78.03598524133477,30.13,87814321.58454739,2461799.895291451,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T14:00:02.797960Z,78.03598524133477,29.795,82546758.87410049,2459969.3684573066,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T14:15:02.107510Z,78.03598524133477,29.663,88586295.01751454,2460160.613153076,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T14:30:03.433667Z,78.03598524133477,33.566,81417406.03313167,2460143.9217688856,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T14:45:02.645328Z,78.03598524133477,29.618,75799741.84384064,2460612.7264999547,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T15:00:02.597762Z,78.03598524133477,30.166,30250060.502329674,2462222.335375179,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T15:15:02.730921Z,78.03598524133477,29.624,10125656.212035133,2457471.9095561393,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T15:30:02.256271Z,78.03598524133477,30.184,8163995.632442666,2448560.5102859954,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T15:45:06.261170Z,78.03598524133477,30.343,7278615.952608414,2463290.019190631,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T16:00:02.115084Z,78.03598524133477,29.593,88548306.26283275,2459950.6794291334,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T16:15:02.002641Z,78.03598524133477,30.241,88147057.69833314,2462364.0159775536,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T16:30:02.320681Z,78.03598524133477,29.939,88966915.98344086,2481450.589563262,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T16:45:02.500612Z,78.03598524133477,29.836,86252918.28480673,2475244.805560079,
